qid,query,docid,doc_text,rel
34,machine learning,D34,Owner man claim head behind plant lay race recent say.,1
35,cell tower,D35,Small wear common technology hot son official ground field.,0
36,cloud computing,D36,Four remember in suffer able view Democrat son discover may reality clearly finish push million third.,3
37,data science,D37,Decade measure stay officer stuff culture act expect large cover late.,2
38,machine learning,D38,Notice pattern week but board either court man growth rather hit.,2
39,cell tower,D39,Position method nothing green certainly reality simple gas employee between later keep.,2
40,data science,D40,Unit later a entire generation light practice pull room memory very current think quite agent.,2
41,cell tower,D41,Probably risk know gun customer happen stop operation food class.,3
42,mobile signal,D42,Participant act seem whether current Congress between what.,3
43,network coverage,D43,Computer allow good may field newspaper board son.,1
44,wifi connection,D44,Particularly identify couple accept PM hour you necessary soldier without team family girl sell.,2
45,network coverage,D45,Structure member music she interview force camera onto responsibility first star four which agent citizen tell.,0
46,artificial intelligence,D46,Like against allow push his same always.,3
47,wifi connection,D47,General tree pattern skin prepare it interesting experience.,0
48,cloud computing,D48,Between finally customer produce member remember cultural apply near quite might effect.,2
49,network coverage,D49,Full send hope important total consumer customer war fact class sing become team.,1
50,network coverage,D50,Cause quite collection specific through company relationship we later away six respond reach young.,2
51,birds raised,D51,Process product real up plant teach talk plan.,2
52,cell tower,D52,Team environmental goal art measure compare month walk feel account hour especially one ask.,1
53,cell tower,D53,Since thought series official series one girl class course.,1
54,mobile signal,D54,During law thank body even evidence hard although project.,0
55,cell tower,D55,Product know operation oil chance read according seven case beyond few chair I your activity.,2
56,machine learning,D56,Thing member crime pay heart camera pay student listen animal themselves community care ball remember that.,0
57,cell tower,D57,Down baby doctor shake direction development show box group you world service never kind condition.,1
58,birds raised,D58,Rest see here upon special trial easy standard itself world watch threat all skin pass agreement.,3
59,birds raised,D59,Develop central billion high like education stop become movie.,1
60,wifi connection,D60,Above tree present my remember move laugh election support.,1
61,machine learning,D61,Book avoid society field language page environmental including but at security.,1
62,cloud computing,D62,Month child since third how field field.,3
63,wifi connection,D63,Quite matter show me star eight set green most board.,2
64,data science,D64,Care forget type address skill black name city card hit party table.,3
65,cell tower,D65,Sit dog present present scene when cell drive significant space memory population actually consider.,2
66,cloud computing,D66,Second money national part international suggest serve form myself teach enough fund just three perhaps.,2
67,machine learning,D67,Bag relationship see mean party mean occur team manage.,2
68,network coverage,D68,Institution until they girl rest good democratic rest job only wind.,2
69,wifi connection,D69,Herself rather rule in develop thus company me father little.,0
70,cell tower,D70,Near another husband which resource add special already thus glass summer energy American so writer.,2
71,birds raised,D71,College apply pull region book outside sure expect day return more reveal.,1
72,mobile signal,D72,Miss order say at memory use itself tree executive war modern mind heart security surface.,2
73,network coverage,D73,Thousand eat something concern them four moment thousand yet experience health sport shoulder particular buy.,0
74,network coverage,D74,Fact catch either town teacher benefit rule artist.,2
75,network coverage,D75,Bar past nearly evidence model father where look within culture.,1
76,cell tower,D76,Boy occur happen age own west opportunity president pattern answer picture consumer must leg stay certainly.,1
77,birds raised,D77,Effort model any arm worker size somebody quite can wait.,3
78,internet speed,D78,Team game relationship news kind tend quickly contain inside back statement another through.,2
79,mobile signal,D79,Control father mission stop night arm tough ability because six probably send everything event age purpose.,3
80,artificial intelligence,D80,Newspaper once mention bad lawyer piece road mention animal.,3
81,wifi connection,D81,Election professor better administration simple woman structure personal.,3
82,internet speed,D82,Western ok civil image worry leg chair.,0
83,wifi connection,D83,Player final TV job ask evening admit claim.,2
84,cell tower,D84,Pass already think character particular either recently all that live him language act without into.,3
85,cloud computing,D85,Structure particular movement close anyone apply for each fall describe.,1
86,cloud computing,D86,Alone body maybe face beyond worry bill cup may mind major color store coach responsibility.,1
87,artificial intelligence,D87,Drive stand some research low study prevent everybody approach suffer wide common police sell.,2
88,internet speed,D88,Sit those week get them safe society case crime art political.,2
89,birds raised,D89,Rest I end various hear successful thing fly cup.,3
90,machine learning,D90,Green if reach nearly thought growth bring deal history same possible under data.,2
91,machine learning,D91,Clearly explain candidate sound toward shoulder sound bring describe drug understand treat environment war.,3
92,mobile signal,D92,Suddenly especially per address memory up evidence suddenly piece writer side.,3
93,wifi connection,D93,A foreign chair reduce herself doctor away power lawyer at cause.,0
94,data science,D94,Including two hour discuss example reflect issue enter this stuff.,1
95,mobile signal,D95,Onto result author a key successful prevent property off sing exist because pick.,3
96,wifi connection,D96,Foreign memory happen high doctor rest forward author he police commercial win wrong less.,1
97,cell tower,D97,Purpose clear receive kitchen tree administration central somebody culture born adult after memory church action.,2
98,machine learning,D98,Least be forward accept professor development blood less quality play so onto future article lead.,1
99,birds raised,D99,Allow detail few much safe push bring effect mind through others fill.,0
100,cell tower,D100,Power kid successful I contain because as newspaper recognize.,0
101,birds raised,D101,Response gun skill bar bit stock property edge life decade important.,0
102,wifi connection,D102,Site fine major live instead scene spend response Congress group blue fight.,1
103,network coverage,D103,Art live task other staff most win argue onto ground line sign report write.,1
104,data science,D104,Born car reason space look physical painting see fly eight than election.,2
105,artificial intelligence,D105,Section front as tree certain standard worry they interview again say memory strong any two.,3
106,internet speed,D106,If any talk election along air religious try management let perhaps check past necessary picture.,1
107,data science,D107,System civil prove positive health back water science power plan next I piece.,2
108,internet speed,D108,Eight common want economic third some list.,2
109,machine learning,D109,Response bit whether cut bill continue much whose.,3
110,wifi connection,D110,Particular appear officer space white decide identify let see push agent.,1
111,artificial intelligence,D111,Various truth yeah open federal bill boy wish point treat pay class seem consumer.,3
112,wifi connection,D112,Someone under morning treatment similar yeah week commercial represent.,2
113,wifi connection,D113,Create system nearly myself sister rock almost.,0
114,cloud computing,D114,Manager black watch surface box international who unit age car interesting speak keep try difference television.,3
115,artificial intelligence,D115,Detail significant rich eye identify hundred game full close form choose positive leader several note lose.,0
116,mobile signal,D116,Lead ahead no add focus laugh just example source technology.,2
117,data science,D117,Away themselves tonight news bring player age marriage care main seven standard million each to church.,0
118,mobile signal,D118,Hair thousand smile culture degree outside movie firm this recognize.,1
119,internet speed,D119,Investment behavior center should travel policy find every painting market deep open road cost car.,1
120,machine learning,D120,Get military woman senior understand once administration.,1
121,cloud computing,D121,Week artist physical take until allow deal follow our consider green.,2
122,data science,D122,Easy year find news wear fine within save record area indicate.,3
123,cloud computing,D123,Cost student protect act put race reflect company plan ago ready trial marriage.,2
124,wifi connection,D124,Whatever treatment whom again environmental son team.,0
125,cloud computing,D125,Clearly floor watch bed light wear evening trip blue follow hot according ago central.,3
126,cloud computing,D126,Say whom hospital window down of some heavy this true camera common page employee into.,3
127,internet speed,D127,College suddenly entire current our single attack good born.,1
128,wifi connection,D128,Across six anyone pretty its impact exist before worker guy some indicate home there.,2
129,birds raised,D129,Concern political father total seat seek company institution understand lead hundred participant fall time.,2
130,network coverage,D130,Run think office leader project large apply area dinner truth area describe bill term.,1
131,artificial intelligence,D131,Man soon husband drop author evening building among decade other exactly huge.,0
132,cloud computing,D132,Dream general job away poor system break me parent to.,3
133,mobile signal,D133,Report indeed my body read quite then resource most state citizen national defense strong risk.,1
134,cloud computing,D134,Region throughout expect yes director lot from reveal surface better why professor already.,1
135,birds raised,D135,Pass economic offer stop home also western measure offer particular yeah back.,3
136,cloud computing,D136,Agency future road majority prepare office school change visit among player training worry management leader parent.,0
137,network coverage,D137,Almost approach most party set summer ready save begin TV film customer something strategy pretty.,2
138,cloud computing,D138,Toward performance member in visit cause do car add according.,0
139,wifi connection,D139,Per work all cost according evening successful very ten ask class.,0
140,data science,D140,Civil information four a suddenly society respond nearly choice out quickly attention clearly try.,3
141,cloud computing,D141,Face sign direction training put environment peace thousand child up chance sort senior more.,1
142,internet speed,D142,Pressure this newspaper his remember alone design operation identify century bed student develop force result.,1
143,network coverage,D143,Daughter trip order save within create gun check especially wear head individual affect.,1
144,artificial intelligence,D144,Culture too reach game name woman help dream fly nor catch ten I general arm.,3
145,machine learning,D145,South skin four pressure management news whole glass stop key I east nature ever year.,3
146,data science,D146,Wide lead often story talk give involve thing five address ready.,1
147,birds raised,D147,Trade catch trade create such year dinner else white similar rest every develop.,3
148,machine learning,D148,Brother program miss phone product me wall your may discussion yard raise model.,0
149,machine learning,D149,Sister sit total travel edge draw sea term think top such occur leader our design list.,3
150,artificial intelligence,D150,Pick compare political rise house carry American less.,2
151,artificial intelligence,D151,Treatment girl control involve member most part meeting reduce bring purpose paper.,1
152,cell tower,D152,Add evening win option usually company minute course whom finish world test next seven.,2
153,cloud computing,D153,Treat baby group simple future general reduce wide control race light up charge approach onto other.,2
154,wifi connection,D154,Product clearly billion activity evidence local brother meet.,2
155,data science,D155,Young remember cut small get society keep his happen same feeling sign century thousand person.,3
156,network coverage,D156,Health floor size usually information realize among guess forward effect necessary century daughter either.,0
157,data science,D157,Detail all guy job then worry age situation.,3
158,wifi connection,D158,Question with forget pretty happen month senior worker hair.,2
159,internet speed,D159,Everything yourself north pressure image prepare local although catch develop save.,3
160,internet speed,D160,Likely information cold window offer particular investment feel support air enough which suddenly agent kind.,2
161,data science,D161,Training director customer economy each benefit everything response appear simple probably effect gun only son.,1
162,data science,D162,Crime near western ability plant later cause police ball able represent program good deep.,1
163,cell tower,D163,Member road sound thus party rock eight various and program know staff.,2
164,mobile signal,D164,Who somebody just strategy upon consider far person mention relationship building worry.,1
165,cloud computing,D165,Order leave people happen and whether business all young city morning place amount husband.,2
166,cloud computing,D166,Government easy sea director almost statement technology father final return in bank.,3
167,machine learning,D167,Win per skin thing indicate think add.,2
168,wifi connection,D168,Citizen billion mouth value system even example food quality.,1
169,network coverage,D169,Lay prevent clearly there hit great cold tree skin where computer sister seem give.,0
170,data science,D170,Wear base picture after sea consider upon through.,0
171,network coverage,D171,Nice activity region issue visit listen media nothing official.,3
172,wifi connection,D172,Republican see indicate more low force generation movie cause exist include particular again as lead.,2
173,birds raised,D173,Friend government probably police benefit head each step really per direction not.,3
174,data science,D174,Interest policy probably key national fast another impact become successful already girl.,3
175,internet speed,D175,South live positive something themselves structure type nation.,0
176,birds raised,D176,Agreement operation window court suddenly organization bank continue.,0
177,machine learning,D177,Back name building pass move suffer discussion father have employee break five daughter little clear.,2
178,cell tower,D178,Class might beat value degree church knowledge service environment.,3
179,cell tower,D179,Wonder spend four standard picture state require describe walk product determine almost help like reason.,3
180,internet speed,D180,Event pick information attention amount rule next stay believe you include throw huge you price.,3
181,cell tower,D181,Major person among condition every security sell increase involve above.,2
182,birds raised,D182,Sure fill help by stop recently technology money.,2
183,internet speed,D183,Town second smile run quality memory protect board kitchen tax not focus.,0
184,wifi connection,D184,Pattern short far positive rate race star those southern news response side popular money.,0
185,data science,D185,Business view note phone method sound man woman purpose building same deep along language away.,3
186,cell tower,D186,Imagine rock oil shake short there thank perform best become grow.,2
187,cell tower,D187,Experience change unit argue case tree less total news after.,2
188,artificial intelligence,D188,Congress start difficult street generation so keep assume wear more local determine professor sea.,2
189,machine learning,D189,Give little beautiful benefit health key easy group.,1
190,wifi connection,D190,Simple successful talk table heavy only hundred organization write deep.,0
191,birds raised,D191,Actually image sometimes friend property adult carry current.,1
192,network coverage,D192,Conference other property chance someone we scene put American one next.,3
193,wifi connection,D193,Anyone international outside significant training market learn suffer forget important enough activity either.,2
194,internet speed,D194,Remember policy car old article structure whole kitchen.,2
195,network coverage,D195,Standard road stand guy old provide since.,0
196,cloud computing,D196,Air land certain wind strong popular young when customer.,1
197,birds raised,D197,Degree put risk either movie low past material.,0
198,wifi connection,D198,Throughout understand we other middle bed lead push.,0
199,birds raised,D199,Firm forget add current art road control resource husband sing paper field house class keep.,1
200,machine learning,D200,On citizen response speech couple rather special big child million teach wide bad his sing.,3
201,artificial intelligence,D201,Baby require suffer fly area executive series professional leave physical risk wide class.,1
202,birds raised,D202,Good reduce door hair despite compare glass statement throw every table either.,0
203,network coverage,D203,Like sense final degree citizen interview consider source recognize.,2
204,data science,D204,Owner so nor company in central face thought series movement wonder now feel.,1
205,cell tower,D205,Understand hotel continue answer arm analysis myself and believe could you.,0
206,birds raised,D206,Tell direction far reach city soon far feel across television talk compare today book.,2
207,internet speed,D207,Year dream foreign answer style collection view consider sort south simple class scientist she sit.,0
208,network coverage,D208,Score issue themselves approach adult clear special.,3
209,cloud computing,D209,Two per probably power discover certain yard someone their more police.,3
210,wifi connection,D210,Fact share there foot nor mother goal already white yourself issue challenge.,3
211,internet speed,D211,Pull skin product serious seek big huge girl surface long behavior which finish agree.,1
212,birds raised,D212,New lose red guy church huge car entire meet shake rise structure happy leader traditional.,0
213,network coverage,D213,Agent art would rate sea difference career since general fight.,0
214,birds raised,D214,Three education focus purpose eat economic thus husband tax of.,3
215,birds raised,D215,Difficult seven week certainly far financial answer right box already everyone treatment though manager.,0
216,birds raised,D216,Require certain last everything focus stay himself trade tell use still push somebody bring.,3
217,machine learning,D217,Clear choice effect home always defense write tend former design.,2
218,internet speed,D218,Near much firm trouble upon worker job change trade ready early mention leg.,0
219,wifi connection,D219,Watch point series contain a community value myself.,2
220,cloud computing,D220,Always seat or pick week treat difficult close open increase matter newspaper change growth remain.,2
221,cell tower,D221,Nearly each when level room benefit those energy environmental growth development field from.,0
222,internet speed,D222,Life practice on huge paper hard model particular blood song discussion course body think brother quickly.,2
223,machine learning,D223,Fight free safe pretty may trip care majority election majority respond role kitchen fact carry baby.,1
224,cloud computing,D224,Fear support reflect have radio human worker stuff.,0
225,data science,D225,Of market risk appear enter culture she return.,3
226,wifi connection,D226,Way front continue success think both cost carry again head.,0
227,internet speed,D227,A such training instead matter peace any threat long during answer town page stage.,3
228,cell tower,D228,Newspaper manager kitchen baby down may seem notice trial organization shake fear way white baby identify.,3
229,network coverage,D229,Particularly interesting full government group word significant remain lose center energy.,2
230,cell tower,D230,Specific believe action vote little few north these available role learn.,3
231,artificial intelligence,D231,Reveal peace raise key simple pass trouble open design sit television star.,1
232,data science,D232,Recently throw meet prevent boy today join maintain gun set hard treatment.,2
233,data science,D233,Any despite issue small prepare hard because education nothing bag.,0
234,internet speed,D234,Local picture per data wear ball least growth.,3
235,network coverage,D235,Body laugh growth throughout unit let anyone hand ok.,1
236,mobile signal,D236,Among teacher alone purpose drop season for claim responsibility true sure discover within seat.,0
237,internet speed,D237,Push right shoulder loss medical research remember newspaper you quality machine.,1
238,internet speed,D238,Focus skin remain ready staff policy number.,1
239,cloud computing,D239,Land agreement system with type produce task ever only pull sing close ask turn training.,1
240,network coverage,D240,Work find sort impact head account save.,3
241,mobile signal,D241,Coach put beat bed produce partner practice around administration investment record get several.,0
242,mobile signal,D242,Million democratic because gun former smile art animal task person finish audience keep community office piece.,3
243,wifi connection,D243,Game five ahead fine change base computer win firm top say visit himself product bad.,0
244,internet speed,D244,Involve structure example actually instead him author stop street very.,2
245,network coverage,D245,Second position war one down same society alone bad stage same key real go cost.,3
246,data science,D246,Bar nation also else know other draw break trouble smile need.,2
247,data science,D247,System similar enough view fund voice knowledge act down mention.,2
248,wifi connection,D248,Buy quickly certainly win because conference teacher ask possible result fast Congress.,3
249,cell tower,D249,Save new near quite fire they star score benefit suddenly feeling trip wish show.,0
250,network coverage,D250,For care two scientist soldier along thousand against nature seem ground vote car.,1
251,artificial intelligence,D251,Guy between debate home key prevent nearly.,0
252,mobile signal,D252,Form check certainly person as money especially politics end enjoy front.,1
253,cell tower,D253,Across represent interview international four century almost order least news site threat.,1
254,birds raised,D254,Require sing thank trial continue data all suffer reflect music back political down speech meet challenge.,0
255,machine learning,D255,Artist draw go believe place man next month coach letter expert receive special win vote.,3
256,data science,D256,Know fill great center hope keep tough young control then his.,0
257,cloud computing,D257,Quality training face matter though throw official live campaign.,0
258,machine learning,D258,Relationship carry memory near customer doctor student plan rule again take board.,1
259,internet speed,D259,Dinner become low per art fill somebody wonder herself available any degree leave page game.,0
260,internet speed,D260,Order indicate cell goal response week resource prove try picture.,1
261,wifi connection,D261,Beautiful hear two how single building change interest.,1
262,data science,D262,And end situation college manage pretty prevent Democrat garden boy subject.,1
263,network coverage,D263,Herself international him sport issue account similar receive eye watch though.,1
264,cell tower,D264,Machine election stuff rich paper inside leader parent mother movement structure.,0
265,birds raised,D265,Then you most sport writer main home improve control age study.,3
266,machine learning,D266,Protect plan significant find if whole themselves.,0
267,cloud computing,D267,Candidate situation really card where ability ten enjoy record military interest enter other school evening early.,2
268,cell tower,D268,Wish hit American staff friend reason add deep stage since.,3
269,cloud computing,D269,Congress particularly close mother understand stuff serious early worry will effect.,3
270,machine learning,D270,Finish TV good act me couple while risk tend find central.,1
271,artificial intelligence,D271,Or laugh last would leave so national total season hospital whatever home none just painting ground.,1
272,wifi connection,D272,None wish miss early drop brother especially soldier store.,3
273,birds raised,D273,Firm natural figure black church firm wife couple guess according option trade pattern.,3
274,network coverage,D274,Discussion character kid price week adult want deal.,3
275,cell tower,D275,Economic on take attack party player common major.,3
276,birds raised,D276,Hear little expect better religious space half remember set president full per.,1
277,wifi connection,D277,Either along simple parent coach get soldier area interest hotel.,1
278,mobile signal,D278,Organization character nature news hard training toward ever brother check business summer red.,2
279,cloud computing,D279,Technology step industry environment address great project available stock each speech.,2
280,wifi connection,D280,Amount activity political watch lawyer measure computer human happen again past old former.,3
281,machine learning,D281,Like old leader play us opportunity five budget age else charge cut.,1
282,data science,D282,Government meeting father value dinner he former prevent interesting foreign race point development article lay Republican.,0
283,network coverage,D283,Store page key activity heart PM popular world base.,0
284,artificial intelligence,D284,Radio behavior choice eight role difference finally.,3
285,wifi connection,D285,Begin much reflect leader either out election Mrs economy act none.,2
286,cloud computing,D286,Attention which follow contain civil central beyond itself dark affect deep writer still sometimes short after.,3
287,cell tower,D287,Picture environment couple investment become adult agent even finish.,3
288,data science,D288,Fish take your Republican hard picture toward grow soon month toward explain owner.,3
289,birds raised,D289,Time sing none leader discover per often forward.,2
290,internet speed,D290,Draw prevent far leader hit impact cost dinner hotel finish yourself challenge indicate remember position.,3
291,cloud computing,D291,Man accept indicate report throw senior popular believe respond technology somebody issue physical eight six.,3
292,network coverage,D292,Might senior treat authority usually behind certain can out.,0
293,cell tower,D293,Area magazine live quickly how blood standard federal list big spend admit exactly local sell.,1
294,mobile signal,D294,Bed get TV bring ready business certainly trouble he store us.,2
295,wifi connection,D295,Role different major although plant social which.,3
296,cell tower,D296,Campaign meeting with develop present likely stand light.,2
297,cloud computing,D297,Scientist tree evening huge send Republican study employee unit writer building they.,3
298,machine learning,D298,Church system collection work now exist matter pattern quite idea difference whole turn what loss.,1
299,birds raised,D299,Whom process view fund pay capital after over another argue.,1
300,data science,D300,Tree movie various behind make land focus give moment one new.,2
301,mobile signal,D301,Dog believe professor finally crime least base technology minute consumer affect.,1
302,artificial intelligence,D302,Financial per music central international Mr bit red middle such former audience question color interest.,0
303,network coverage,D303,Fact become once hotel culture cut throw animal more ago yet concern.,1
304,mobile signal,D304,List because TV already owner stand tend although catch unit.,3
305,cloud computing,D305,Firm true bank bag small black already.,1
306,machine learning,D306,Plan half yeah little everyone support sure yeah garden protect most population threat form seek hospital.,3
307,internet speed,D307,Stand marriage beyond trip truth pretty of draw night surface we central particularly.,3
308,data science,D308,Hand board tax night item those Mr stuff beautiful race writer scientist skill common.,0
309,cloud computing,D309,Bring factor leg good affect force the most nearly big I attack.,2
310,artificial intelligence,D310,Task thank must usually order best hospital evening enter thing most population green only reflect.,3
311,cell tower,D311,Low my next drive end culture fish gun important thought already he knowledge.,0
312,artificial intelligence,D312,Drive evening nation almost star box structure design ok by.,2
313,network coverage,D313,Often cause without nature hotel agent long.,0
314,internet speed,D314,Home add offer stock carry college most way language.,2
315,wifi connection,D315,Attorney gun he section Republican human will.,3
316,network coverage,D316,Unit evidence health book rule smile well table environmental money usually evening else finish green true.,0
317,cloud computing,D317,She bring training glass page law focus rise agency music across here thing since low authority.,2
318,network coverage,D318,Home professor on civil election same stock respond think.,1
319,birds raised,D319,Less man see news friend eye rather.,2
320,cell tower,D320,Raise scene place knowledge analysis safe hand tax that yes play year day certain.,2
321,cloud computing,D321,Well employee economy send attention forward audience term drug.,0
322,artificial intelligence,D322,Forget difficult loss bit almost discover unit dark despite there guy read card.,1
323,mobile signal,D323,Family son present itself different crime particular fine a spend gas like American skill few.,0
324,network coverage,D324,Discussion challenge garden thus attention box surface.,2
325,internet speed,D325,Until be prevent speak list recent toward individual fish especially future front finally wrong.,2
326,network coverage,D326,National goal fire decade his onto family suffer will force church.,3
327,internet speed,D327,Other pretty property new whole government hit usually including.,0
328,network coverage,D328,Trade force material some apply year third turn born about fear middle soldier together sport law.,1
329,data science,D329,Six new go during someone friend around fill star scene health care drug few allow serious.,0
330,network coverage,D330,Trouble force central own southern region vote situation her area but.,2
331,data science,D331,Reflect four wish upon wait force sit so make help represent.,2
332,wifi connection,D332,Reveal foot take Mr take thousand positive outside make second imagine office window change sometimes no.,1
333,wifi connection,D333,House likely executive cost safe against military main spend leave Republican arm front father take.,3
334,internet speed,D334,Trade detail sense gas ground heart along occur.,1
335,birds raised,D335,End sport mouth product return court wall large.,1
336,data science,D336,Become fish matter population entire her of else agree.,0
337,wifi connection,D337,House tax option mind red history hit.,3
338,mobile signal,D338,Program Democrat give old hold player pretty.,3
339,mobile signal,D339,Blue experience father plan how yes voice.,2
340,internet speed,D340,Other reduce learn whose off must they will both sea despite agreement.,3
341,wifi connection,D341,Decade beyond across level only serve phone.,1
342,data science,D342,Yard TV with try help heart sport for physical but.,1
343,birds raised,D343,Drug car end likely court choose I attention.,1
344,cloud computing,D344,Student pretty they everyone time believe drive recent real consider.,0
345,internet speed,D345,Professional law against parent my unit design lay shoulder case.,1
346,network coverage,D346,Year bill certainly painting focus area receive box white meeting experience surface what whether.,1
347,network coverage,D347,Before process under stuff direction issue kind.,3
348,cell tower,D348,Painting analysis stay speech heart thank management fall both value far government order mouth wear.,1
349,birds raised,D349,But very somebody back marriage attention social why.,1
350,data science,D350,Since be cell property why exactly until point young national team exactly hear information business.,2
351,cloud computing,D351,Drug long eat power American mission size sea seem reflect bank image.,3
352,artificial intelligence,D352,Material fast visit imagine lay site month hour bit instead.,2
353,cloud computing,D353,Maybe would safe include account near simply accept himself.,1
354,artificial intelligence,D354,See structure ever machine scientist trouble really feel sit throughout.,1
355,internet speed,D355,Model Democrat those real shake she artist consider contain answer simple national manage action buy.,3
356,data science,D356,Also there contain day structure tell anyone significant together serious quality land.,1
357,birds raised,D357,Adult room above trade together child language discuss.,2
358,cell tower,D358,Tend any alone so up usually manage sometimes culture unit mention Democrat.,2
359,artificial intelligence,D359,Language board practice clear owner kind total personal poor.,3
360,internet speed,D360,Remain them most million cold friend hard style season another service best improve.,3
361,cloud computing,D361,Message wife measure himself discover wear politics knowledge develop pull kid small son best dream.,2
362,cell tower,D362,Bank station sell condition artist view understand edge often yeah itself could quite.,2
363,birds raised,D363,Store able stop star social several economy than model whose.,2
364,wifi connection,D364,Democratic color interesting common last PM letter truth hand which wide.,2
365,network coverage,D365,Major remember note model part simple order time talk notice clearly friend question realize.,3
366,cell tower,D366,Something whatever pay throughout smile turn success with them happy fund growth fly pressure.,1
367,machine learning,D367,Program school indeed believe start himself ever how.,2
368,artificial intelligence,D368,Firm entire employee task discuss sing consumer back though court still six less company.,2
369,machine learning,D369,Level explain physical may necessary push what sort raise call.,0
370,wifi connection,D370,Reason past produce few former wear start later will watch protect city.,2
371,mobile signal,D371,Director rise recent method themselves off trip player land end crime plan.,2
372,cloud computing,D372,Name house owner choice day knowledge suggest little part turn time population argue key.,1
373,artificial intelligence,D373,Energy debate place international close religious key quickly.,0
374,cell tower,D374,Between state kind clear Congress return growth policy need Democrat country blue remain each with paper.,2
375,data science,D375,City against serve public plan provide several fill money despite PM word its culture.,2
376,data science,D376,Pull agreement military painting help someone exactly.,2
377,cell tower,D377,Magazine of question name well some media since enter.,0
378,machine learning,D378,Late management personal whose later life staff capital tough person popular.,2
379,cell tower,D379,Share floor economy too everybody development yeah.,0
380,internet speed,D380,Area of nothing must add member truth day.,0
381,internet speed,D381,Dog drug need however south music section.,2
382,wifi connection,D382,Either figure station too along line on your.,2
383,birds raised,D383,Check sing news until real lose and statement service him subject focus eye friend deep attention.,3
384,mobile signal,D384,Because dream security necessary production task cause picture serve discussion later cold age behind.,2
385,machine learning,D385,Charge choice center at skin ten board no owner admit nothing.,2
386,machine learning,D386,Either listen account serve or race appear.,3
387,artificial intelligence,D387,Professional usually partner especially sure happen life with number develop government.,0
388,wifi connection,D388,Home threat occur seem it role value wind customer consider level high strong.,0
389,cell tower,D389,Although beat let later positive happy population news act week phone company suddenly alone full public.,3
390,birds raised,D390,New write usually those effort suddenly southern factor do bill throughout decade professor.,2
391,artificial intelligence,D391,Guess share a staff political along score service consumer wall discuss clear.,3
392,network coverage,D392,Final no support down seek feel store skin already.,0
393,mobile signal,D393,Federal culture special fight those wind or newspaper never.,2
394,wifi connection,D394,Attention church response base better process recognize expert food land family can service.,3
395,birds raised,D395,Whether own security organization wear name business cut traditional I rule me hold a onto wonder.,2
396,cloud computing,D396,Thank usually on another school another guy person rich on data coach suddenly near mention year.,3
397,cell tower,D397,Result condition day capital manage create situation tend other front no role.,1
398,machine learning,D398,Letter seat another act debate dark year far right girl occur wish modern by traditional policy.,0
399,cell tower,D399,Almost standard participant seven agent too those thing anyone middle free capital.,1
400,wifi connection,D400,Computer sister left real simply this see point section do help.,1
401,cloud computing,D401,Book force idea again get focus evidence moment.,0
402,mobile signal,D402,Tonight responsibility their model set show evening north red door perhaps address firm.,0
403,mobile signal,D403,Rate lot attorney page support star send current big raise.,2
